BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
199601,17,2130,199601,18,1800,2029887,5547563,OKLAHOMA,40,1996,January,High Wind,Z,10,WOODWARD,OUN,17-JAN-96 21:30:00,CST,18-JAN-96 18:00:00,0,0,0,0,1K,,,45,,,,,,,,,,,,,,,,,,,,,"A strong cold front moved into Oklahoma during the evening of January 17th.  Strong gradient winds with and behind the front were sustained at up to 44 mph at Will Rogers Airport in Oklahoma City with gusts as high as 52 mph. The strong winds began with frontal passage and continued until early evening on the 18th.  During the almost 24 hours of high winds, tree, sign, and other property damage was widespread across western and central Oklahoma.  Reports of downed business signs and uprooted trees were received from Norman in Cleveland County, Ponca City in Kay County, Ardmore in Carter County, Weatherford in Custer County, and Woodward in Woodward County.Semi-trucks were blown over in Elk City, Clinton, and Cordell in Beckham, Custer, and Washita Counties.  In Altus in Jackson County a carport was lifted and blown onto the connecting mobile home.  In Okeene in Blaine County the roof of a grocery store, housed in a metal building, was taken off and blown into a neighboring business.  In Canton, also in Blaine County, the front portion of the roof was blown off of a bank.  In Hughes County, high winds toppled a metal barn in Lamar.  In Granite in Greer County, high winds damaged the roofs of a church and two city buildings, resulting in about $2200 in damage.",,PDC
199601,17,2130,199601,18,1800,2029887,5547583,OKLAHOMA,40,1996,January,High Wind,Z,30,POTTAWATOMIE,OUN,17-JAN-96 21:30:00,CST,18-JAN-96 18:00:00,0,0,0,0,,,,45,,,,,,,,,,,,,,,,,,,,,"A strong cold front moved into Oklahoma during the evening of January 17th.  Strong gradient winds with and behind the front were sustained at up to 44 mph at Will Rogers Airport in Oklahoma City with gusts as high as 52 mph. The strong winds began with frontal passage and continued until early evening on the 18th.  During the almost 24 hours of high winds, tree, sign, and other property damage was widespread across western and central Oklahoma.  Reports of downed business signs and uprooted trees were received from Norman in Cleveland County, Ponca City in Kay County, Ardmore in Carter County, Weatherford in Custer County, and Woodward in Woodward County.Semi-trucks were blown over in Elk City, Clinton, and Cordell in Beckham, Custer, and Washita Counties.  In Altus in Jackson County a carport was lifted and blown onto the connecting mobile home.  In Okeene in Blaine County the roof of a grocery store, housed in a metal building, was taken off and blown into a neighboring business.  In Canton, also in Blaine County, the front portion of the roof was blown off of a bank.  In Hughes County, high winds toppled a metal barn in Lamar.  In Granite in Greer County, high winds damaged the roofs of a church and two city buildings, resulting in about $2200 in damage.",,PDC
199601,18,200,199601,20,1200,2029889,5547789,OKLAHOMA,40,1996,January,Cold/Wind Chill,Z,24,CANADIAN,OUN,18-JAN-96 02:00:00,CST,20-JAN-96 12:00:00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"A strong arctic air mass settled in across Oklahoma early in the morning of the 18th, and remained over the state through the 20th, resulting in two deaths.  Low temperatures fell into the single digits and high temperatures rose only to around 20 degrees on the 19th.  Wind chill values fell as low as 35 to 40 degrees below zero.  A fifty-one year old man died of hypothermia overnight after apparently sitting down against a north-facing wall in Midwest City early on the 18th.A fifty-six year old man also died of hypothermia on the 20th when he took refuge in an unheated shack in Oklahoma City.",,PDC
199601,17,2130,199601,18,1800,2029887,5547569,OKLAHOMA,40,1996,January,High Wind,Z,16,CUSTER,OUN,17-JAN-96 21:30:00,CST,18-JAN-96 18:00:00,0,0,0,0,,,,45,,,,,,,,,,,,,,,,,,,,,"A strong cold front moved into Oklahoma during the evening of January 17th.  Strong gradient winds with and behind the front were sustained at up to 44 mph at Will Rogers Airport in Oklahoma City with gusts as high as 52 mph. The strong winds began with frontal passage and continued until early evening on the 18th.  During the almost 24 hours of high winds, tree, sign, and other property damage was widespread across western and central Oklahoma.  Reports of downed business signs and uprooted trees were received from Norman in Cleveland County, Ponca City in Kay County, Ardmore in Carter County, Weatherford in Custer County, and Woodward in Woodward County.Semi-trucks were blown over in Elk City, Clinton, and Cordell in Beckham, Custer, and Washita Counties.  In Altus in Jackson County a carport was lifted and blown onto the connecting mobile home.  In Okeene in Blaine County the roof of a grocery store, housed in a metal building, was taken off and blown into a neighboring business.  In Canton, also in Blaine County, the front portion of the roof was blown off of a bank.  In Hughes County, high winds toppled a metal barn in Lamar.  In Granite in Greer County, high winds damaged the roofs of a church and two city buildings, resulting in about $2200 in damage.",,PDC
199601,17,2130,199601,18,1800,2029887,5547567,OKLAHOMA,40,1996,January,High Wind,Z,14,ROGER MILLS,OUN,17-JAN-96 21:30:00,CST,18-JAN-96 18:00:00,0,0,0,0,,,,45,,,,,,,,,,,,,,,,,,,,,"A strong cold front moved into Oklahoma during the evening of January 17th.  Strong gradient winds with and behind the front were sustained at up to 44 mph at Will Rogers Airport in Oklahoma City with gusts as high as 52 mph. The strong winds began with frontal passage and continued until early evening on the 18th.  During the almost 24 hours of high winds, tree, sign, and other property damage was widespread across western and central Oklahoma.  Reports of downed business signs and uprooted trees were received from Norman in Cleveland County, Ponca City in Kay County, Ardmore in Carter County, Weatherford in Custer County, and Woodward in Woodward County.Semi-trucks were blown over in Elk City, Clinton, and Cordell in Beckham, Custer, and Washita Counties.  In Altus in Jackson County a carport was lifted and blown onto the connecting mobile home.  In Okeene in Blaine County the roof of a grocery store, housed in a metal building, was taken off and blown into a neighboring business.  In Canton, also in Blaine County, the front portion of the roof was blown off of a bank.  In Hughes County, high winds toppled a metal barn in Lamar.  In Granite in Greer County, high winds damaged the roofs of a church and two city buildings, resulting in about $2200 in damage.",,PDC
199601,1,1200,199601,2,2100,2029884,5547533,OKLAHOMA,40,1996,January,Heavy Snow,Z,49,PUSHMATAHA,OUN,01-JAN-96 12:00:00,CST,02-JAN-96 21:00:00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"A strong cold front moved across Oklahoma early New Year's Day, dropping temperatures into the teens and 20s.  Snow began falling during the afternooon of January 1st and continued until evening of the 2nd. The heaviest snow fell in southern Oklahoma in the zones near the Red River, then spread northeastward into east central and northeastern Oklahoma.  In Oklahoma, the southwestern end of a heavy snow band extended into Hughes and Pontotoc Counties, where 4 and 6 inches of snow were measured, respectively.  Isolated totals of 5 inches in Hugo in Choctaw County and 4 inches in Durant in Bryan County also fell.Patchy ice formed on roads in portions of central Oklahoma, including the Oklahoma City metro area.  Forty-two injury accidents and  over 175 non-injury accidents were reported due to the slick road conditions in central Oklahoma.",,PDC
199601,1,1200,199601,2,2100,2029884,5547536,OKLAHOMA,40,1996,January,Heavy Snow,Z,45,JEFFERSON,OUN,01-JAN-96 12:00:00,CST,02-JAN-96 21:00:00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"A strong cold front moved across Oklahoma early New Year's Day, dropping temperatures into the teens and 20s.  Snow began falling during the afternooon of January 1st and continued until evening of the 2nd. The heaviest snow fell in southern Oklahoma in the zones near the Red River, then spread northeastward into east central and northeastern Oklahoma.  In Oklahoma, the southwestern end of a heavy snow band extended into Hughes and Pontotoc Counties, where 4 and 6 inches of snow were measured, respectively.  Isolated totals of 5 inches in Hugo in Choctaw County and 4 inches in Durant in Bryan County also fell.Patchy ice formed on roads in portions of central Oklahoma, including the Oklahoma City metro area.  Forty-two injury accidents and  over 175 non-injury accidents were reported due to the slick road conditions in central Oklahoma.",,PDC
199601,18,200,199601,20,1200,2029889,5547805,OKLAHOMA,40,1996,January,Cold/Wind Chill,Z,40,GARVIN,OUN,18-JAN-96 02:00:00,CST,20-JAN-96 12:00:00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"A strong arctic air mass settled in across Oklahoma early in the morning of the 18th, and remained over the state through the 20th, resulting in two deaths.  Low temperatures fell into the single digits and high temperatures rose only to around 20 degrees on the 19th.  Wind chill values fell as low as 35 to 40 degrees below zero.  A fifty-one year old man died of hypothermia overnight after apparently sitting down against a north-facing wall in Midwest City early on the 18th.A fifty-six year old man also died of hypothermia on the 20th when he took refuge in an unheated shack in Oklahoma City.",,PDC
199601,18,200,199601,20,1200,2029889,5547781,OKLAHOMA,40,1996,January,Cold/Wind Chill,Z,16,CUSTER,OUN,18-JAN-96 02:00:00,CST,20-JAN-96 12:00:00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"A strong arctic air mass settled in across Oklahoma early in the morning of the 18th, and remained over the state through the 20th, resulting in two deaths.  Low temperatures fell into the single digits and high temperatures rose only to around 20 degrees on the 19th.  Wind chill values fell as low as 35 to 40 degrees below zero.  A fifty-one year old man died of hypothermia overnight after apparently sitting down against a north-facing wall in Midwest City early on the 18th.A fifty-six year old man also died of hypothermia on the 20th when he took refuge in an unheated shack in Oklahoma City.",,PDC
199601,18,200,199601,20,1200,2029889,5547799,OKLAHOMA,40,1996,January,Cold/Wind Chill,Z,34,GREER,OUN,18-JAN-96 02:00:00,CST,20-JAN-96 12:00:00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"A strong arctic air mass settled in across Oklahoma early in the morning of the 18th, and remained over the state through the 20th, resulting in two deaths.  Low temperatures fell into the single digits and high temperatures rose only to around 20 degrees on the 19th.  Wind chill values fell as low as 35 to 40 degrees below zero.  A fifty-one year old man died of hypothermia overnight after apparently sitting down against a north-facing wall in Midwest City early on the 18th.A fifty-six year old man also died of hypothermia on the 20th when he took refuge in an unheated shack in Oklahoma City.",,PDC
199601,18,200,199601,20,1200,2029889,5547794,OKLAHOMA,40,1996,January,Cold/Wind Chill,Z,29,CLEVELAND,OUN,18-JAN-96 02:00:00,CST,20-JAN-96 12:00:00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"A strong arctic air mass settled in across Oklahoma early in the morning of the 18th, and remained over the state through the 20th, resulting in two deaths.  Low temperatures fell into the single digits and high temperatures rose only to around 20 degrees on the 19th.  Wind chill values fell as low as 35 to 40 degrees below zero.  A fifty-one year old man died of hypothermia overnight after apparently sitting down against a north-facing wall in Midwest City early on the 18th.A fifty-six year old man also died of hypothermia on the 20th when he took refuge in an unheated shack in Oklahoma City.",,PDC
199601,18,200,199601,20,1200,2029889,5547813,OKLAHOMA,40,1996,January,Cold/Wind Chill,Z,48,ATOKA,OUN,18-JAN-96 02:00:00,CST,20-JAN-96 12:00:00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"A strong arctic air mass settled in across Oklahoma early in the morning of the 18th, and remained over the state through the 20th, resulting in two deaths.  Low temperatures fell into the single digits and high temperatures rose only to around 20 degrees on the 19th.  Wind chill values fell as low as 35 to 40 degrees below zero.  A fifty-one year old man died of hypothermia overnight after apparently sitting down against a north-facing wall in Midwest City early on the 18th.A fifty-six year old man also died of hypothermia on the 20th when he took refuge in an unheated shack in Oklahoma City.",,PDC
199601,17,2130,199601,18,1800,2029887,5547565,OKLAHOMA,40,1996,January,High Wind,Z,12,GARFIELD,OUN,17-JAN-96 21:30:00,CST,18-JAN-96 18:00:00,0,0,0,0,,,,45,,,,,,,,,,,,,,,,,,,,,"A strong cold front moved into Oklahoma during the evening of January 17th.  Strong gradient winds with and behind the front were sustained at up to 44 mph at Will Rogers Airport in Oklahoma City with gusts as high as 52 mph. The strong winds began with frontal passage and continued until early evening on the 18th.  During the almost 24 hours of high winds, tree, sign, and other property damage was widespread across western and central Oklahoma.  Reports of downed business signs and uprooted trees were received from Norman in Cleveland County, Ponca City in Kay County, Ardmore in Carter County, Weatherford in Custer County, and Woodward in Woodward County.Semi-trucks were blown over in Elk City, Clinton, and Cordell in Beckham, Custer, and Washita Counties.  In Altus in Jackson County a carport was lifted and blown onto the connecting mobile home.  In Okeene in Blaine County the roof of a grocery store, housed in a metal building, was taken off and blown into a neighboring business.  In Canton, also in Blaine County, the front portion of the roof was blown off of a bank.  In Hughes County, high winds toppled a metal barn in Lamar.  In Granite in Greer County, high winds damaged the roofs of a church and two city buildings, resulting in about $2200 in damage.",,PDC
199601,18,200,199601,20,1200,2029889,5547787,OKLAHOMA,40,1996,January,Cold/Wind Chill,Z,22,WASHITA,OUN,18-JAN-96 02:00:00,CST,20-JAN-96 12:00:00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"A strong arctic air mass settled in across Oklahoma early in the morning of the 18th, and remained over the state through the 20th, resulting in two deaths.  Low temperatures fell into the single digits and high temperatures rose only to around 20 degrees on the 19th.  Wind chill values fell as low as 35 to 40 degrees below zero.  A fifty-one year old man died of hypothermia overnight after apparently sitting down against a north-facing wall in Midwest City early on the 18th.A fifty-six year old man also died of hypothermia on the 20th when he took refuge in an unheated shack in Oklahoma City.",,PDC
199601,18,200,199601,20,1200,2029889,5547809,OKLAHOMA,40,1996,January,Cold/Wind Chill,Z,44,COTTON,OUN,18-JAN-96 02:00:00,CST,20-JAN-96 12:00:00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"A strong arctic air mass settled in across Oklahoma early in the morning of the 18th, and remained over the state through the 20th, resulting in two deaths.  Low temperatures fell into the single digits and high temperatures rose only to around 20 degrees on the 19th.  Wind chill values fell as low as 35 to 40 degrees below zero.  A fifty-one year old man died of hypothermia overnight after apparently sitting down against a north-facing wall in Midwest City early on the 18th.A fifty-six year old man also died of hypothermia on the 20th when he took refuge in an unheated shack in Oklahoma City.",,PDC
199601,17,2130,199601,18,1800,2029887,5547574,OKLAHOMA,40,1996,January,High Wind,Z,21,BECKHAM,OUN,17-JAN-96 21:30:00,CST,18-JAN-96 18:00:00,0,0,0,0,,,,45,,,,,,,,,,,,,,,,,,,,,"A strong cold front moved into Oklahoma during the evening of January 17th.  Strong gradient winds with and behind the front were sustained at up to 44 mph at Will Rogers Airport in Oklahoma City with gusts as high as 52 mph. The strong winds began with frontal passage and continued until early evening on the 18th.  During the almost 24 hours of high winds, tree, sign, and other property damage was widespread across western and central Oklahoma.  Reports of downed business signs and uprooted trees were received from Norman in Cleveland County, Ponca City in Kay County, Ardmore in Carter County, Weatherford in Custer County, and Woodward in Woodward County.Semi-trucks were blown over in Elk City, Clinton, and Cordell in Beckham, Custer, and Washita Counties.  In Altus in Jackson County a carport was lifted and blown onto the connecting mobile home.  In Okeene in Blaine County the roof of a grocery store, housed in a metal building, was taken off and blown into a neighboring business.  In Canton, also in Blaine County, the front portion of the roof was blown off of a bank.  In Hughes County, high winds toppled a metal barn in Lamar.  In Granite in Greer County, high winds damaged the roofs of a church and two city buildings, resulting in about $2200 in damage.",,PDC
199601,17,2130,199601,18,1800,2029887,5547764,OKLAHOMA,40,1996,January,High Wind,Z,50,LOVE,OUN,17-JAN-96 21:30:00,CST,18-JAN-96 18:00:00,0,0,0,0,,,,45,,,,,,,,,,,,,,,,,,,,,"A strong cold front moved into Oklahoma during the evening of January 17th.  Strong gradient winds with and behind the front were sustained at up to 44 mph at Will Rogers Airport in Oklahoma City with gusts as high as 52 mph. The strong winds began with frontal passage and continued until early evening on the 18th.  During the almost 24 hours of high winds, tree, sign, and other property damage was widespread across western and central Oklahoma.  Reports of downed business signs and uprooted trees were received from Norman in Cleveland County, Ponca City in Kay County, Ardmore in Carter County, Weatherford in Custer County, and Woodward in Woodward County.Semi-trucks were blown over in Elk City, Clinton, and Cordell in Beckham, Custer, and Washita Counties.  In Altus in Jackson County a carport was lifted and blown onto the connecting mobile home.  In Okeene in Blaine County the roof of a grocery store, housed in a metal building, was taken off and blown into a neighboring business.  In Canton, also in Blaine County, the front portion of the roof was blown off of a bank.  In Hughes County, high winds toppled a metal barn in Lamar.  In Granite in Greer County, high winds damaged the roofs of a church and two city buildings, resulting in about $2200 in damage.",,PDC
199601,18,200,199601,20,1200,2029889,5547793,OKLAHOMA,40,1996,January,Cold/Wind Chill,Z,28,MCCLAIN,OUN,18-JAN-96 02:00:00,CST,20-JAN-96 12:00:00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"A strong arctic air mass settled in across Oklahoma early in the morning of the 18th, and remained over the state through the 20th, resulting in two deaths.  Low temperatures fell into the single digits and high temperatures rose only to around 20 degrees on the 19th.  Wind chill values fell as low as 35 to 40 degrees below zero.  A fifty-one year old man died of hypothermia overnight after apparently sitting down against a north-facing wall in Midwest City early on the 18th.A fifty-six year old man also died of hypothermia on the 20th when he took refuge in an unheated shack in Oklahoma City.",,PDC
